IP:Port,Type,Latency,Location
115.239.234.43:7302,http,1.35s,115.239.234.43 (Beijing, China)
47.237.113.119:6379,http,2.09s,47.237.113.119 (Singapore, Singapore)
8.213.156.191:199,http,2.85s,8.213.156.191 (Seoul, South Korea)
38.10.90.134:8084,http,5.91s,38.10.90.134 (Iloilo City, Philippines)
8.213.128.6:3132,http,5.87s,8.213.128.6 (Seoul, South Korea)
47.254.36.213:3001,http,5.14s,47.254.36.213 (Minkler, United States)
8.211.194.85:443,http,8.02s,8.211.194.85 (London, United Kingdom)
221.153.152.43:80,http,1.16s,221.153.152.43 (Pyeongtaek-si, South Korea)
8.213.222.157:312,http,2.13s,8.213.222.157 (Bangkok, Thailand)
89.58.55.33:80,http,0.93s,89.58.55.33 (Nuremberg, Germany)
8.211.42.167:3128,http,11.36s,8.211.42.167 (Frankfurt am Main, Germany)
8.211.195.173:20002,http,6.34s,8.211.195.173 (London, United Kingdom)
159.223.225.118:8888,http,1.29s,159.223.225.118 (Amsterdam, The Netherlands)
36.138.53.26:10017,http,1.21s,36.138.53.26 (Guangzhou, China)
8.215.15.163:8443,http,2.1s,8.215.15.163 (Jakarta, Indonesia)
46.30.46.133:3128,http,4.73s,46.30.46.133 (Amsterdam, The Netherlands)
103.82.246.249:8080,http,3.82s,103.82.246.249 (Ciputat, Indonesia)
8.210.17.35:8445,http,4.25s,8.210.17.35 (Hong Kong, Hong Kong)
47.250.51.110:8081,http,6.16s,47.250.51.110 (Kuala Lumpur, Malaysia)
8.211.194.85:80,http,3.51s,8.211.194.85 (London, United Kingdom)
157.90.10.15:65535,http,0.64s,157.90.10.15 (Falkenstein, Germany)
181.78.20.11:999,http,4.2s,181.78.20.11 (Medellín, Colombia)
185.76.240.98:10001,http,5.46s,185.76.240.98 (Moscow, Russia)
47.243.124.21:8002,http,4.19s,47.243.124.21 (Hong Kong, Hong Kong)
8.209.96.245:3129,http,6.52s,8.209.96.245 (Frankfurt am Main, Germany)
45.140.147.155:1081,http,2.23s,45.140.147.155 (Meppel, The Netherlands)
103.184.180.204:8080,http,3.83s,103.184.180.204 (Magetan, Indonesia)
46.249.100.124:80,http,0.69s,46.249.100.124 (Frankfurt am Main, Germany)
47.237.2.245:808,http,2.62s,47.237.2.245 (Singapore, Singapore)
122.116.125.115:8888,http,0.8s,122.116.125.115 (Taipei, Taiwan)
8.213.128.6:4153,http,3.91s,8.213.128.6 (Seoul, South Korea)
8.221.139.222:17,http,2.24s,8.221.139.222 (Tokyo, Japan)
8.213.197.208:3128,http,2.34s,8.213.197.208 (Bangkok, Thailand)
195.26.224.135:80,http,4.56s,195.26.224.135 (Amsterdam, The Netherlands)
47.238.130.212:8004,http,2.23s,47.238.130.212 (Hong Kong, Hong Kong)
219.65.73.81:80,http,1.29s,219.65.73.81 (Kolkata, India)
8.212.151.166:51,http,5.69s,8.212.151.166 (Manila, Philippines)
8.220.204.92:8081,http,4.83s,8.220.204.92 (Seoul, South Korea)
89.116.51.164:8080,http,0.88s,89.116.51.164 (Phoenix, United States)
47.76.144.139:9080,http,2.22s,47.76.144.139 (Hong Kong, Hong Kong)
39.109.113.97:4090,http,0.64s,39.109.113.97 (Kwai Chung, Hong Kong)
8.211.200.183:80,http,4.62s,8.211.200.183 (London, United Kingdom)
8.221.141.88:8064,http,6.55s,8.221.141.88 (Tokyo, Japan)
8.213.215.187:202,http,2.38s,8.213.215.187 (Bangkok, Thailand)
103.174.175.98:8085,http,8.86s,103.174.175.98 (Bekasi, Indonesia)
31.148.207.153:80,http,5.05s,None
74.176.195.135:80,http,0.67s,None
8.213.215.187:3000,http,2.63s,None
77.242.177.57:3128,http,3.67s,None
47.238.60.156:3128,http,2.78s,None
8.212.177.126:8080,http,0.64s,None
47.91.89.3:1081,http,6.22s,None
47.237.107.41:8081,http,3.79s,None
8.220.204.215:12000,http,4.67s,None
185.187.92.42:80,http,0.64s,None
122.160.30.99:80,http,7.95s,None
39.102.208.149:81,http,3.75s,None
47.91.89.3:115,http,4.1s,None
74.62.179.122:8080,http,5.47s,None
8.220.205.172:1081,http,4.68s,None
103.210.35.182:8080,http,2.08s,None
115.127.181.114:6969,http,3.51s,None
47.238.60.156:8081,http,2.55s,None
47.250.177.202:139,http,2.13s,None
52.229.30.3:80,http,1.45s,None
8.213.195.191:100,http,6.09s,Unknown
120.26.52.35:8081,http,4.5s,None
94.72.109.214:8888,http,1.63s,None
47.91.109.17:45,http,5.5s,None
113.160.132.26:8080,http,1.88s,None
8.211.51.115:1081,http,6.32s,None
8.213.215.187:9098,http,2.23s,None
8.221.138.111:46691,http,5.2s,8.221.138.111 (Tokyo, Japan)
103.65.237.92:5678,http,5.39s,103.65.237.92 (Jakarta, Indonesia)
47.90.167.27:1000,http,5.88s,47.90.167.27 (Charlottesville, United States)
8.130.54.67:9080,http,5.16s,8.130.54.67 (Beijing, China)
8.213.222.247:3333,http,5.96s,8.213.222.247 (Bangkok, Thailand)
47.91.89.3:6379,http,6.06s,47.91.89.3 (Frankfurt am Main, Germany)
176.106.241.50:80,http,3.39s,176.106.241.50 (Mytishchi, Russia)
170.64.170.204:8080,http,1.68s,170.64.170.204 (Sydney, Australia)
191.37.66.225:8080,http,5.56s,191.37.66.225 (Taboão da Serra, Brazil)
158.160.215.167:8123,http,1.86s,158.160.215.167 (Moscow, Russia)
8.211.195.139:4100,http,7.56s,8.211.195.139 (London, United Kingdom)
185.76.240.228:10001,http,5.75s,185.76.240.228 (Moscow, Russia)
123.30.154.171:7777,http,1.07s,123.30.154.171 (Hanoi, Vietnam)
47.92.219.102:8888,http,6.17s,47.92.219.102 (Beijing, China)
167.103.34.108:8800,http,0.73s,167.103.34.108 (Chennai, India)
84.39.112.144:3128,http,0.64s,84.39.112.144 (Zurich, Switzerland)
83.219.145.106:3128,http,2.0s,83.219.145.106 (Kaliningrad, Russia)
103.187.86.10:8182,http,4.82s,103.187.86.10 (Pinrang, Indonesia)
149.129.255.179:80,http,2.22s,149.129.255.179 (Jakarta, Indonesia)
219.93.101.62:80,http,2.7s,219.93.101.62 (Kota Kinabalu, Malaysia)
12.50.107.217:80,http,0.63s,12.50.107.217 (Jacksonville, United States)
202.133.88.173:80,http,0.99s,202.133.88.173 (Paris, France)
116.80.65.217:3172,http,2.56s,116.80.65.217 (Kita, Japan)
8.220.136.174:9098,http,4.69s,8.220.136.174 (Manila, Philippines)
194.71.227.149:80,http,0.82s,194.71.227.149 (Brussels, Belgium)
45.4.3.89:999,http,3.41s,45.4.3.89 (Santiago, Chile)
91.241.217.58:9090,http,4.54s,91.241.217.58 (Makiyivka, Ukraine)
5.196.101.18:3128,http,4.82s,5.196.101.18 (Chemillé-en-Anjou, France)
139.224.186.221:8081,http,4.54s,139.224.186.221 (Shanghai, China)
8.130.90.177:3128,http,3.72s,8.130.90.177 (Beijing, China)
8.211.42.167:544,http,4.9s,8.211.42.167 (Frankfurt am Main, Germany)
58.241.88.7:800,http,0.83s,58.241.88.7 (Changzhou, China)
47.91.29.151:9098,http,4.17s,47.91.29.151 (Tokyo, Japan)
47.251.73.54:64,http,6.03s,47.251.73.54 (Minkler, United States)
36.138.53.26:10019,http,1.02s,36.138.53.26 (Guangzhou, China)
203.19.38.114:1080,http,0.58s,203.19.38.114 (Hong Kong, Hong Kong)
8.211.195.139:1000,http,3.94s,8.211.195.139 (London, United Kingdom)
154.43.62.22:80,http,2.03s,154.43.62.22 (Voluntari, Romania)
